Item,QTY,Hyperlink,Option 1,Option 2
Stepper Motor 17HS08-1004S,1,https://www.aliexpress.com/item/32585429251.html,,
GT2 Pulley 16T,1,https://www.aliexpress.com/item/1005002226516848.html,16 Teeth Bore 5mm ,6mm Width
EBB42 3D Can Bus Board,1,https://www.aliexpress.com/item/1005004242828520.html,EBB42 CAN ,
USB C 90 Degree Elbow,1,https://www.aliexpress.com/item/1005002755168110.html,Elbow Typec F to M,
20x20 V Slot Extrusion,1,https://www.makerstore.com.au/product/black-v-slot-20-x-20mm/,500mm,
19mm Momentary Switch,1,https://www.aliexpress.com/item/1005003862203895.html,12-24V LED Momentary,19mm
Ball Lock Bulkhead (Liquid),1,https://www.kegland.com.au/ball-lock-post-with-1-4-inch-bulkhead-assembly-liquid.html,,
Dip Tube (Liquid),1,https://www.kegland.com.au/stainless-keg-dip-tube-long-liquid.html,,
90 Degree Duotight Elbow (8mm),1,https://www.kegland.com.au/duotight-8mm-push-in-tee-piece-double-oring-897.html,,
Ball Lock Bulkhead (Gas),1,https://www.kegland.com.au/ball-lock-post-with-1-4-inch-bulkhead-assembly-gas.html,,
Gas Solenoid,1,https://www.aliexpress.com/item/1005003324287626.html,,
Push Fit/Male Thread Elbow,1,https://www.aliexpress.com/item/1005001357072469.html,PL8-02,
DC099 5.5 x 2.1mm Power Socket,1,https://www.aliexpress.com/item/4000053061172.html,,
MGN12H Rail and Carriage,1,https://www.aliexpress.com/item/4000264234020.html,400mm,MGN12H
Microswitch 13x9.5,1,https://www.aliexpress.com/item/4000029868541.html,,
GT2 Idler Pulley,1,https://www.aliexpress.com/item/32796878074.html,Bore 3mm No Teeth,For width 6mm-Silver
MG996R Servo,1,https://www.aliexpress.com/item/1005004556540857.html,MG996R - 180 Degrees,All Metal
GT2 Timing Belt,1,https://www.aliexpress.com/item/32853559638.html,2M-6MM-GT2,
Beer Gun Filler (duotight as it comes with hose),1,https://www.kegland.com.au/duotight-bottle-filler-beer-gun.html,,
Push Fit/Female Thread Elbow,1,https://www.aliexpress.com/item/33011074542.html,8mm OD Hose,1 / 4 â€œ
Duotight reducer 8mm-6.35mm,1,https://www.kegland.com.au/duotight-6-5mm-1-4-x-8mm-5-16-reducer.html,,
2.4mm Stainless TIG Wire or 2.5 Rod,1,https://www.aliexpress.com/item/4000186787300.html,2.5mm,
5.5 x 2.1mm Barrel Jack 12V 1.25A+ Power Supply,,,,
M2x10 Pan Head Self Tapper Screw,2,,,
M3X6 Cap Head Screw,8,,,
M3x10 Cap Head Screw,16,,,
M3x16 Cap Head Screw,1,,,
M3x20 Cap Head Screw,6,,,
M3x40 Pan Head Screw,3,Included with the EBB42,,
M3 Washer,8,,,
M3 T Nut,4,,,
M3 Square Nut,10,,,
M3 Brass Heatset Inserts - Short M3x5x4 ,8,,,
M5x10 Button Head Screw,2,,,
